timestamp,platform,market_id,event_id,price,liquidity
2026-03-14T17:47:11Z,polymarket,polymarket:561255:YES,will-ivanka-trump-win-the-2028-us-presidential-election,0.0125,447734.60453
2026-03-14T17:47:11Z,polymarket,polymarket:561255:NO,will-ivanka-trump-win-the-2028-us-presidential-election,0.9875,447734.60453
2026-03-14T17:47:11Z,polymarket,polymarket:561256:YES,will-zohran-mamdani-win-the-2028-us-presidential-election,0.0075,1040269.86048
2026-03-14T17:47:11Z,polymarket,polymarket:561256:NO,will-zohran-mamdani-win-the-2028-us-presidential-election,0.9925,1040269.86048
2026-03-14T17:47:11Z,polymarket,polymarket:561257:YES,will-michelle-obama-win-the-2028-us-presidential-election,0.0105,1305095.64344
2026-03-14T17:47:11Z,polymarket,polymarket:561257:NO,will-michelle-obama-win-the-2028-us-presidential-election,0.9895,1305095.64344
2026-03-14T17:47:11Z,polymarket,polymarket:561258:YES,will-jamie-dimon-win-the-2028-us-presidential-election,0.0115,574173.36451
2026-03-14T17:47:11Z,polymarket,polymarket:561258:NO,will-jamie-dimon-win-the-2028-us-presidential-election,0.9885,574173.36451
2026-03-14T17:47:11Z,polymarket,polymarket:561259:YES,will-ro-khanna-win-the-2028-us-presidential-election,0.0085,1077007.71364
2026-03-14T17:47:11Z,polymarket,polymarket:561259:NO,will-ro-khanna-win-the-2028-us-presidential-election,0.9915,1077007.71364
2026-03-14T17:47:11Z,polymarket,polymarket:561260:YES,will-thomas-massie-win-the-2028-us-presidential-election,0.0125,783865.29345
2026-03-14T17:47:11Z,polymarket,polymarket:561260:NO,will-thomas-massie-win-the-2028-us-presidential-election,0.9875,783865.29345
2026-03-14T17:47:11Z,polymarket,polymarket:561261:YES,will-jon-ossoff-win-the-2028-us-presidential-election,0.029,356259.53719
2026-03-14T17:47:11Z,polymarket,polymarket:561261:NO,will-jon-ossoff-win-the-2028-us-presidential-election,0.971,356259.53719
2026-03-14T17:47:11Z,polymarket,polymarket:561262:YES,will-james-talarico-win-the-2028-us-presidential-election,0.0095,975482.4805
2026-03-14T17:47:11Z,polymarket,polymarket:561262:NO,will-james-talarico-win-the-2028-us-presidential-election,0.9905,975482.4805
2026-03-14T17:47:11Z,polymarket,polymarket:561263:YES,will-eric-trump-win-the-2028-us-presidential-election,0.0085,1153790.26407
2026-03-14T17:47:11Z,polymarket,polymarket:561263:NO,will-eric-trump-win-the-2028-us-presidential-election,0.9915,1153790.26407
2026-03-14T17:47:11Z,polymarket,polymarket:561365:YES,will-cooper-flagg-win-the-202526-nba-rookie-of-the-year-award,0.275,13953.3699
2026-03-14T17:47:11Z,polymarket,polymarket:561365:NO,will-cooper-flagg-win-the-202526-nba-rookie-of-the-year-award,0.725,13953.3699
2026-03-14T17:47:11Z,polymarket,polymarket:561366:YES,will-tre-johnson-win-the-202526-nba-rookie-of-the-year-award,0.0015,17034.82271
2026-03-14T17:47:11Z,polymarket,polymarket:561366:NO,will-tre-johnson-win-the-202526-nba-rookie-of-the-year-award,0.9985,17034.82271
2026-03-14T17:47:11Z,polymarket,polymarket:561367:YES,will-ace-bailey-win-the-202526-nba-rookie-of-the-year-award,0.001,14012.07421
2026-03-14T17:47:11Z,polymarket,polymarket:561367:NO,will-ace-bailey-win-the-202526-nba-rookie-of-the-year-award,0.999,14012.07421
2026-03-14T17:47:11Z,polymarket,polymarket:561368:YES,will-dylan-harper-win-the-202526-nba-rookie-of-the-year-award,0.0005,17145.0145
2026-03-14T17:47:11Z,polymarket,polymarket:561368:NO,will-dylan-harper-win-the-202526-nba-rookie-of-the-year-award,0.9995,17145.0145
2026-03-14T17:47:11Z,polymarket,polymarket:561369:YES,will-vj-edgecombe-win-the-202526-nba-rookie-of-the-year-award,0.0005,16894.55831
2026-03-14T17:47:11Z,polymarket,polymarket:561369:NO,will-vj-edgecombe-win-the-202526-nba-rookie-of-the-year-award,0.9995,16894.55831
2026-03-14T17:47:11Z,polymarket,polymarket:561370:YES,will-kon-knueppel-win-the-202526-nba-rookie-of-the-year-award,0.7135,31563.50041
2026-03-14T17:47:11Z,polymarket,polymarket:561370:NO,will-kon-knueppel-win-the-202526-nba-rookie-of-the-year-award,0.2865,31563.50041
2026-03-14T17:47:11Z,polymarket,polymarket:561371:YES,will-derik-queen-win-the-202526-nba-rookie-of-the-year-award,0.0005,22416.84699
2026-03-14T17:47:11Z,polymarket,polymarket:561371:NO,will-derik-queen-win-the-202526-nba-rookie-of-the-year-award,0.9995,22416.84699
2026-03-14T17:47:11Z,polymarket,polymarket:561372:YES,will-jeremiah-fears-win-the-202526-nba-rookie-of-the-year-award,0.0005,16689.44247
2026-03-14T17:47:11Z,polymarket,polymarket:561372:NO,will-jeremiah-fears-win-the-202526-nba-rookie-of-the-year-award,0.9995,16689.44247
2026-03-14T17:47:11Z,polymarket,polymarket:561373:YES,will-cedric-coward-win-the-202526-nba-rookie-of-the-year-award,0.0005,25592.7473
2026-03-14T17:47:11Z,polymarket,polymarket:561373:NO,will-cedric-coward-win-the-202526-nba-rookie-of-the-year-award,0.9995,25592.7473
2026-03-14T17:47:11Z,polymarket,polymarket:561377:YES,will-jase-richardson-win-the-202526-nba-rookie-of-the-year-award-435,0.002,11373.37335
2026-03-14T17:47:11Z,polymarket,polymarket:561377:NO,will-jase-richardson-win-the-202526-nba-rookie-of-the-year-award-435,0.998,11373.37335
2026-03-14T17:47:11Z,polymarket,polymarket:561379:YES,will-walter-clayton-jr-win-the-202526-nba-rookie-of-the-year-award-262-418,0.0015,11779.77378
2026-03-14T17:47:11Z,polymarket,polymarket:561379:NO,will-walter-clayton-jr-win-the-202526-nba-rookie-of-the-year-award-262-418,0.9985,11779.77378
2026-03-14T17:47:11Z,polymarket,polymarket:561380:YES,will-collin-murray-boyles-win-the-202526-nba-rookie-of-the-year-award-233-167,0.0005,8226.06078
